Keyword,Cluster_Producto,Cluster_Geografico,URL_Objetivo,Volumen_Busqueda_ES,CPC_ES,Dificultad_CMP_ES,Posicion_24_07_2026,Mejor_Posicion_Historica,Registrada_SerpReports,Prioridad,Accion_Recomendada,Seguimiento_Ago2026,Seguimiento_Sep2026,Seguimiento_Oct2026,Seguimiento_Nov2026,Seguimiento_Dic2026,Seguimiento_Ene2027,Seguimiento_Feb2027,Seguimiento_Mar2027,Seguimiento_Abr2027,Seguimiento_May2027,Seguimiento_Jun2027,Seguimiento_Jul2027
carpinteria metalica,Carpintería de Aluminio y PVC,Sin geo (nacional),https://aluminiosnavarro.es/,11000,,9,,,No,Alta,"La mayor oportunidad de toda la cuenta (volumen altísimo, dificultad casi nula) y SIN seguimiento en DinoRank; registrar y crear contenido/landing dedicada de inmediato.",,,,,,,,,,,,
carpinteria de aluminio,Carpintería de Aluminio y PVC,Sin geo (nacional),https://aluminiosnavarro.es/,7500,,18,,,No,Alta,Volumen enorme con dificultad muy baja y SIN seguimiento activo en DinoRank; darla de alta en SerpReports de inmediato.,,,,,,,,,,,,
cerramientos de terrazas,Cerramientos de Terrazas,Sin geo (nacional),https://aluminiosnavarro.es/cerramientos-de-terrazas-en-madrid/,2900,1.6,100,41,,Sí,Alta,Mayor volumen de toda la cuenta; valorar página pilar nacional 'Cerramientos de Terrazas' sin geolocalizar que enlace a todas las páginas de ciudad.,,,,,,,,,,,,
cerramientos de aluminios,Cerramientos de Aluminio,Sin geo / Madrid,https://aluminiosnavarro.es/tipos-de-cerramientos-de-aluminio-en-madrid/,1000,1.2,99,33,10,Sí,Alta,"Segundo mayor volumen de la cuenta; rankea un post de blog en vez de la página pilar /cerramientos-de-aluminio/, reforzar enlazado interno hacia la página comercial.",,,,,,,,,,,,
toldos en alcala de henares,Toldos,Alcalá de Henares,https://aluminiosnavarro.es/toldos-en-alcala-de-henares/,480,2.29,90,38,15,Sí,Alta,Mayor volumen de todo el cluster de toldos locales; prioridad máxima de contenido y enlaces.,,,,,,,,,,,,
ventanas pvc madrid,Ventanas y Puertas de PVC,Madrid,https://aluminiosnavarro.es/ventanas-y-puertas-de-pvc-en-madrid/,390,5.54,66,,21,Sí,Alta,Mayor volumen del cluster PVC; reforzar contenido técnico (Kömmerling) y testimonios.,,,,,,,,,,,,
carpinteria metalica madrid,Carpintería de Aluminio y PVC,Madrid,https://aluminiosnavarro.es/carpinteria-de-aluminio-en-madrid/,320,2.84,54,,23,Sí,Alta,Sin posición confirmada pese al volumen; crear apartado 'carpinteria metalica' en la página de Madrid y enlazar el blog dedicado.,,,,,,,,,,,,
pergolas bioclimaticas madrid,Pérgolas y Vérandas,Madrid,https://aluminiosnavarro.es/verandas-y-pergolas-en-madrid/,320,4.17,100,,15,Sí,Alta,"Mayor volumen del cluster pergolas; crear apartado específico 'pergolas bioclimaticas' con detalle técnico (lamas orientables, sensores).",,,,,,,,,,,,
cerramientos terrazas madrid,Cerramientos de Terrazas,Madrid,https://aluminiosnavarro.es/cerramientos-de-terrazas-en-madrid/,260,11.06,37,,6,Sí,Alta,"Variante casi duplicada de la anterior; consolidar en la misma página, vigilar canibalización.",,,,,,,,,,,,
pergolas madrid,Pérgolas y Vérandas,Madrid,https://aluminiosnavarro.es/verandas-y-pergolas-en-madrid/,260,5.58,100,,8,Sí,Alta,"Refrescar contenido, añadir galeria de proyectos y schema.",,,,,,,,,,,,
toldos en torrejon de ardoz,Toldos,Torrejón de Ardoz,https://aluminiosnavarro.es/lonas-y-toldos-en-torrejon-de-ardoz/,260,1.83,67,32,5,Sí,Alta,"Prioridad alta local: gran volumen, cayó desde el Top 5.",,,,,,,,,,,,
cerramientos de terrazas en madrid,Cerramientos de Terrazas,Madrid,https://aluminiosnavarro.es/cerramientos-de-terrazas-en-madrid/,210,5.68,29,,7,Sí,Alta,"Sin posición actual pese a volumen alto y CMP bajo; ya alcanzó pos.7, auditar la caída y refrescar contenido.",,,,,,,,,,,,
toldos en coslada,Toldos,Coslada,https://aluminiosnavarro.es/toldos-en-coslada/,210,3.01,58,32,12,Sí,Alta,"Volumen alto, cayó desde pos.12; prioridad alta.",,,,,,,,,,,,
cortinas de cristal en madrid,Cortinas de Cristal,Madrid,https://aluminiosnavarro.es/cortinas-de-cristal-en-madrid/,170,4.82,46,,17,Sí,Alta,Ampliar contenido con casos de éxito y precios orientativos.,,,,,,,,,,,,
instalacion de toldos en madrid,Toldos,Madrid,https://aluminiosnavarro.es/toldos-en-madrid/,110,5.09,69,,18,Sí,Alta,Añadir sección 'proceso de instalación' con fotos y FAQ.,,,,,,,,,,,,
pergolas en madrid,Pérgolas y Vérandas,Madrid,https://aluminiosnavarro.es/verandas-y-pergolas-en-madrid/,110,3.25,100,,9,Sí,Alta,Consolidar con las variantes anteriores en la misma página.,,,,,,,,,,,,
ventanas de aluminio en madrid,Ventanas y Puertas de Aluminio,Madrid,https://aluminiosnavarro.es/puertas-y-ventanas-de-aluminio-madrid/,110,4.19,51,,16,Sí,Alta,Ya alcanzó pos.16; ampliar contenido y enlaces internos.,,,,,,,,,,,,
carpinteria de aluminio en madrid,Carpintería de Aluminio y PVC,Madrid,https://aluminiosnavarro.es/,70,1.83,45,23,12,Sí,Alta,Quick win: optimizar title/meta y enlaces internos desde blog relacionado.,,,,,,,,,,,,
persianas torrejon de ardoz,Persianas,Torrejón de Ardoz,https://aluminiosnavarro.es/persianas-torrejon-de-ardoz/,70,3.66,82,25,3,Sí,Alta,Quick win; recuperar el Top 3 histórico.,,,,,,,,,,,,
persianas en torrejon de ardoz,Persianas,Torrejón de Ardoz,https://aluminiosnavarro.es/persianas-torrejon-de-ardoz/,70,3.66,82,28,7,Sí,Alta,Quick win; variante de 'persianas torrejon de ardoz'.,,,,,,,,,,,,
techos moviles en madrid,Techos Móviles,Madrid,https://aluminiosnavarro.es/techos-moviles-y-legalidad-como-ganar-metros-en-tu-terraza-en-madrid-sin-necesidad-de-obra-mayor/,50,5.76,38,15,9,Sí,Alta,"Quick win, pero rankea un post de blog en vez de la página de servicio; reforzar enlace interno hacia /techos-moviles-y-fijos-en-madrid/.",,,,,,,,,,,,
aluminio torrejon de ardoz,Cerramientos de Aluminio,Torrejón de Ardoz,https://aluminiosnavarro.es/cerramientos-de-aluminio-en-torrejon-de-ardoz/,50,0.71,44,20,8,Sí,Alta,Quick win.,,,,,,,,,,,,
aluminios torrejon de ardoz,Cerramientos de Aluminio,Torrejón de Ardoz,https://aluminiosnavarro.es/cerramientos-de-aluminio-en-torrejon-de-ardoz/,50,0.86,37,16,11,Sí,Alta,Quick win.,,,,,,,,,,,,
ventanas torrejon de ardoz,Ventanas y Puertas de Aluminio,Torrejón de Ardoz,https://aluminiosnavarro.es/puertas-y-ventanas-en-torrejon-de-ardoz/,40,3.13,79,25,4,Sí,Alta,Quick win.,,,,,,,,,,,,
